"TIME","GEO","INDIC_DE","Value","Flag and Footnotes"
"2011","Belgium","Median age of population - females","42.0","b"
"2011","Belgium","Median age of population","40.9","b"
"2011","Belgium","Median age of population - males","39.7","b"
"2011","Bulgaria","Median age of population - females","44.7",""
"2011","Bulgaria","Median age of population","42.5",""
"2011","Bulgaria","Median age of population - males","40.6",""
"2011","Czechia","Median age of population - females","41.5",""
"2011","Czechia","Median age of population","39.8",""
"2011","Czechia","Median age of population - males","38.3",""
"2011","Denmark","Median age of population - females","41.5",""
"2011","Denmark","Median age of population","40.6",""
"2011","Denmark","Median age of population - males","39.8",""
"2011","Germany (until 1990 former territory of the FRG)","Median age of population - females","45.8",""
"2011","Germany (until 1990 former territory of the FRG)","Median age of population","44.7","b"
"2011","Germany (until 1990 former territory of the FRG)","Median age of population - males","43.5",""
"2011","Germany including former GDR","Median age of population - females","45.8","b"
"2011","Germany including former GDR","Median age of population","44.7","b"
"2011","Germany including former GDR","Median age of population - males","43.5","b"
"2011","Estonia","Median age of population - females","43.9",""
"2011","Estonia","Median age of population","40.4",""
"2011","Estonia","Median age of population - males","37.1",""
"2011","Ireland","Median age of population - females","34.9",""
"2011","Ireland","Median age of population","34.5",""
"2011","Ireland","Median age of population - males","34.1",""
"2011","Greece","Median age of population - females","42.8",""
"2011","Greece","Median age of population","41.5",""
"2011","Greece","Median age of population - males","40.2",""
"2011","Spain","Median age of population - females","41.5",""
"2011","Spain","Median age of population","40.3",""
"2011","Spain","Median age of population - males","39.2",""
"2011","France","Median age of population - females","41.4",""
"2011","France","Median age of population","40.0",""
"2011","France","Median age of population - males","38.6",""
"2011","France (metropolitan)","Median age of population - females","41.6",""
"2011","France (metropolitan)","Median age of population","40.2",""
"2011","France (metropolitan)","Median age of population - males","38.8",""
"2011","Croatia","Median age of population - females","44.1",""
"2011","Croatia","Median age of population","42.1",""
"2011","Croatia","Median age of population - males","39.9",""
"2011","Italy","Median age of population - females","45.0",""
"2011","Italy","Median age of population","43.7",""
"2011","Italy","Median age of population - males","42.3",""
"2011","Cyprus","Median age of population - females","36.5",""
"2011","Cyprus","Median age of population","35.7",""
"2011","Cyprus","Median age of population - males","34.6",""
"2011","Latvia","Median age of population - females","44.9",""
"2011","Latvia","Median age of population","41.4",""
"2011","Latvia","Median age of population - males","37.7",""
"2011","Lithuania","Median age of population - females","44.1",""
"2011","Lithuania","Median age of population","41.1",""
"2011","Lithuania","Median age of population - males","37.9",""
"2011","Luxembourg","Median age of population - females","39.7",""
"2011","Luxembourg","Median age of population","39.0",""
"2011","Luxembourg","Median age of population - males","38.3",""
"2011","Hungary","Median age of population - females","42.6",""
"2011","Hungary","Median age of population","40.1",""
"2011","Hungary","Median age of population - males","37.6",""
"2011","Malta","Median age of population - females","41.6",""
"2011","Malta","Median age of population","40.1",""
"2011","Malta","Median age of population - males","38.8",""
"2011","Netherlands","Median age of population - females","41.7",""
"2011","Netherlands","Median age of population","41.0",""
"2011","Netherlands","Median age of population - males","40.2",""
"2011","Austria","Median age of population - females","43.2",""
"2011","Austria","Median age of population","42.0",""
"2011","Austria","Median age of population - males","40.9",""
"2011","Poland","Median age of population - females","40.2",""
"2011","Poland","Median age of population","38.2",""
"2011","Poland","Median age of population - males","36.4",""
"2011","Portugal","Median age of population - females","43.3",""
"2011","Portugal","Median age of population","41.7",""
"2011","Portugal","Median age of population - males","40.1",""
"2011","Romania","Median age of population - females","41.8",""
"2011","Romania","Median age of population","40.1",""
"2011","Romania","Median age of population - males","38.4",""
"2011","Slovenia","Median age of population - females","43.5",""
"2011","Slovenia","Median age of population","41.7",""
"2011","Slovenia","Median age of population - males","40.0",""
"2011","Slovakia","Median age of population - females","39.1",""
"2011","Slovakia","Median age of population","37.4",""
"2011","Slovakia","Median age of population - males","35.9",""
"2011","Finland","Median age of population - females","43.7",""
"2011","Finland","Median age of population","42.1",""
"2011","Finland","Median age of population - males","40.5",""
"2011","Sweden","Median age of population - females","41.8",""
"2011","Sweden","Median age of population","40.8",""
"2011","Sweden","Median age of population - males","39.7",""
"2011","Iceland","Median age of population - females","35.6",""
"2011","Iceland","Median age of population","35.0",""
"2011","Iceland","Median age of population - males","34.4",""
"2011","Liechtenstein","Median age of population - females","42.0",""
"2011","Liechtenstein","Median age of population","41.2",""
"2011","Liechtenstein","Median age of population - males","40.5",""
"2011","Norway","Median age of population - females","39.5",""
"2011","Norway","Median age of population","38.7",""
"2011","Norway","Median age of population - males","38.0",""
"2011","Switzerland","Median age of population - females","42.5",""
"2011","Switzerland","Median age of population","41.6","b"
