"TIME","GEO","SEX","MARSTA","AGE","UNIT","Value","Flag and Footnotes"
"2000","Belgium","Total","Persons in registered partnership","Total","Number",":",""
"2000","Belgium","Total","Widowed persons","Total","Number","732,345",""
"2000","Belgium","Total","Divorced persons","Total","Number","597,358",""
"2000","Belgium","Males","Persons in registered partnership","Total","Number",":",""
"2000","Belgium","Males","Widowed persons","Total","Number","135,730",""
"2000","Belgium","Males","Divorced persons","Total","Number","275,631",""
"2000","Belgium","Females","Persons in registered partnership","Total","Number",":",""
"2000","Belgium","Females","Widowed persons","Total","Number","596,615",""
"2000","Belgium","Females","Divorced persons","Total","Number","321,727",""
"2000","Bulgaria","Total","Persons in registered partnership","Total","Number",":",""
"2000","Bulgaria","Total","Widowed persons","Total","Number",":",""
"2000","Bulgaria","Total","Divorced persons","Total","Number",":",""
"2000","Bulgaria","Males","Persons in registered partnership","Total","Number",":",""
"2000","Bulgaria","Males","Widowed persons","Total","Number",":",""
"2000","Bulgaria","Males","Divorced persons","Total","Number",":",""
"2000","Bulgaria","Females","Persons in registered partnership","Total","Number",":",""
"2000","Bulgaria","Females","Widowed persons","Total","Number",":",""
"2000","Bulgaria","Females","Divorced persons","Total","Number",":",""
"2000","Czechia","Total","Persons in registered partnership","Total","Number",":",""
"2000","Czechia","Total","Widowed persons","Total","Number","766,476",""
"2000","Czechia","Total","Divorced persons","Total","Number","781,947",""
"2000","Czechia","Males","Persons in registered partnership","Total","Number",":",""
"2000","Czechia","Males","Widowed persons","Total","Number","110,300",""
"2000","Czechia","Males","Divorced persons","Total","Number","339,460",""
"2000","Czechia","Females","Persons in registered partnership","Total","Number",":",""
"2000","Czechia","Females","Widowed persons","Total","Number","656,176",""
"2000","Czechia","Females","Divorced persons","Total","Number","442,487",""
"2000","Denmark","Total","Persons in registered partnership","Total","Number",":",""
"2000","Denmark","Total","Widowed persons","Total","Number","347,634",""
"2000","Denmark","Total","Divorced persons","Total","Number","380,120",""
"2000","Denmark","Males","Persons in registered partnership","Total","Number",":",""
"2000","Denmark","Males","Widowed persons","Total","Number","74,304",""
"2000","Denmark","Males","Divorced persons","Total","Number","166,469",""
"2000","Denmark","Females","Persons in registered partnership","Total","Number",":",""
"2000","Denmark","Females","Widowed persons","Total","Number","273,330",""
"2000","Denmark","Females","Divorced persons","Total","Number","213,651",""
"2000","Germany (until 1990 former territory of the FRG)","Total","Persons in registered partnership","Total","Number",":",""
"2000","Germany (until 1990 former territory of the FRG)","Total","Widowed persons","Total","Number",":",""
"2000","Germany (until 1990 former territory of the FRG)","Total","Divorced persons","Total","Number",":",""
"2000","Germany (until 1990 former territory of the FRG)","Males","Persons in registered partnership","Total","Number",":",""
"2000","Germany (until 1990 former territory of the FRG)","Males","Widowed persons","Total","Number",":",""
"2000","Germany (until 1990 former territory of the FRG)","Males","Divorced persons","Total","Number",":",""
"2000","Germany (until 1990 former territory of the FRG)","Females","Persons in registered partnership","Total","Number",":",""
"2000","Germany (until 1990 former territory of the FRG)","Females","Widowed persons","Total","Number",":",""
"2000","Germany (until 1990 former territory of the FRG)","Females","Divorced persons","Total","Number",":",""
"2000","Germany including former GDR","Total","Persons in registered partnership","Total","Number",":",""
"2000","Germany including former GDR","Total","Widowed persons","Total","Number",":",""
"2000","Germany including former GDR","Total","Divorced persons","Total","Number",":",""
"2000","Germany including former GDR","Males","Persons in registered partnership","Total","Number",":",""
