"TIME","GEO","UNIT","NA_ITEM","Value","Flag and Footnotes"
"1975","Belgium","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1975","Bulgaria","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1975","Czechia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1975","Denmark","Current prices, euro per capita","Gross domestic product at market prices","6,450",""
"1975","Germany (until 1990 former territory of the FRG)","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1975","Estonia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1975","Ireland","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1975","Greece","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1975","Spain","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1975","France","Current prices, euro per capita","Gross domestic product at market prices","5,390",""
"1975","Croatia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1975","Italy","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1975","Cyprus","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1975","Latvia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1975","Lithuania","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1975","Luxembourg","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1975","Hungary","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1975","Malta","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1975","Netherlands","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1975","Austria","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1975","Poland","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1975","Portugal","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1975","Romania","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1975","Slovenia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1975","Slovakia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1975","Finland","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1975","Sweden","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1975","Iceland","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1975","Liechtenstein","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1975","Norway","Current prices, euro per capita","Gross domestic product at market prices","6,630",""
"1975","Switzerland","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1975","United Kingdom","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1975","Montenegro","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1975","North Macedonia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1975","Albania","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1975","Serbia","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1975","Turkey","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1975","Bosnia and Herzegovina","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1975","Kosovo (under United Nations Security Council Resolution 1244/99)","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1976","Belgium","Current prices, euro per capita","Gross domestic product at market prices",":",""
"1976","Bulgaria","Current prices, euro per capita","Gross domestic product at market prices",":",""
